Matrnr;Anrede;Nachname;Vorname;Email;Note;Punkte;Prfbem;Versucht;Studiengang;Fachgruppe;Fachsemester;Vorbehalt
12001213;Frau;Parker;Thaddel;Thaddel.Parker@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);6;0
12001214;Frau;xD;Markus;Markus.xD@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);8;0
12001215;Frau;Raw;Johannes;Johannes.Raw@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);9;0
12001216;Frau;Chan;Lukas;Lukas.Chan@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);7;0
12001217;Frau;Schmidt;Jesus;Jesus.Schmidt@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);10;0
12001218;Frau;Andres;Isaak;Isaak.Andres@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);5;0
12001219;Frau;Sanders;Isa;Isa.Sanders@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);5;0
12001220;Frau;Lose;Lisa;Lisa.Lose@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);2;0
12001221;Frau;Bierkoff;Lena;Lena.Bierkoff@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);3;0
12001222;Frau;Kliensmann;Sarah;Sarah.Kliensmann@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);6;0
12001223;Frau;Kufur;Maria;Maria.Kufur@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);8;0
12001224;Frau;Jeremies;Silvia;Silvia.Jeremies@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);9;0
12001225;Frau;Linke;Marta;Marta.Linke@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);7;0
12001226;Frau;Bobic;Manuela;Manuela.Bobic@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);8;0
12001227;Frau;Kahn;Lea;Lea.Kahn@stud.uni-goettingen;;;<Ohne>;1;Wirtschaftsinformatik (Bachelor of Science);Vertiefung Wirtschaftsinformatik - Wahlmodule (3 aus IIV, DIW, IKT, SRS);10;0
